Point No.	Frequency Set (GHz)	THz Photocurrent (nA)	Frequency Act (GHz)	Amplitude (via StrMod)	Phase (via StrMod)	Frequency Fit	Timestamp (s)	Timestamp (s)	Timestamp (s)	Timestamp (s)	Timestamp (s)	Timestamp (s)
155	200.000	-0.034	200.002	1.387	3.642	1.328	1771524131.673	1771524131.673	1771524131.673	1771524131.673	1771524131.673	1771524131.673
156	200.000	-0.042	200.002	5.032	1.139	1.328	1771524131.922	1771524131.922	1771524131.922	1771524131.922	1771524131.922	1771524131.922
157	200.000	-0.031	200.000	3.979	4.662	1.328	1771524132.159	1771524132.159	1771524132.159	1771524132.159	1771524132.159	1771524132.159
158	200.000	0.027	199.997	2.408	4.088	1.328	1771524132.380	1771524132.380	1771524132.380	1771524132.380	1771524132.380	1771524132.380
159	200.000	-0.011	200.003	4.975	1.217	1.328	1771524132.598	1771524132.598	1771524132.598	1771524132.598	1771524132.598	1771524132.598
160	200.000	0.001	200.001	1.494	5.653	1.328	1771524132.795	1771524132.795	1771524132.795	1771524132.795	1771524132.795	1771524132.795
161	200.000	-0.045	200.002	4.581	4.290	1.328	1771524133.017	1771524133.017	1771524133.017	1771524133.017	1771524133.017	1771524133.017
162	200.000	0.009	200.003	2.316	1.491	1.328	1771524133.238	1771524133.238	1771524133.238	1771524133.238	1771524133.238	1771524133.238
163	200.000	0.025	199.997	3.575	0.917	1.328	1771524133.490	1771524133.490	1771524133.490	1771524133.490	1771524133.490	1771524133.490
164	200.000	-0.026	200.000	4.923	4.391	1.328	1771524133.712	1771524133.712	1771524133.712	1771524133.712	1771524133.712	1771524133.712
165	200.000	-0.022	200.000	1.246	1.669	1.328	1771524133.989	1771524133.989	1771524133.989	1771524133.989	1771524133.989	1771524133.989
166	200.000	-0.000	200.002	3.403	0.946	1.328	1771524134.217	1771524134.217	1771524134.217	1771524134.217	1771524134.217	1771524134.217
167	200.000	0.012	199.997	4.759	4.371	1.328	1771524134.510	1771524134.510	1771524134.510	1771524134.510	1771524134.510	1771524134.510
168	200.000	0.014	199.998	2.626	1.380	1.328	1771524134.740	1771524134.740	1771524134.740	1771524134.740	1771524134.740	1771524134.740
169	200.000	0.012	200.001	2.977	0.846	1.328	1771524134.990	1771524134.990	1771524134.990	1771524134.990	1771524134.990	1771524134.990
170	200.000	-0.005	200.002	5.068	4.397	1.328	1771524135.202	1771524135.202	1771524135.202	1771524135.202	1771524135.202	1771524135.202
171	200.000	0.006	199.999	0.687	2.151	1.328	1771524135.410	1771524135.410	1771524135.410	1771524135.410	1771524135.410	1771524135.410
172	200.000	0.051	199.999	4.354	1.039	1.328	1771524135.682	1771524135.682	1771524135.682	1771524135.682	1771524135.682	1771524135.682
173	200.000	-0.021	199.999	4.775	4.402	1.328	1771524135.934	1771524135.934	1771524135.934	1771524135.934	1771524135.934	1771524135.934
174	200.000	0.010	200.003	0.612	2.476	1.328	1771524136.171	1771524136.171	1771524136.171	1771524136.171	1771524136.171	1771524136.171
175	200.000	-0.016	199.999	4.172	1.100	1.328	1771524136.425	1771524136.425	1771524136.425	1771524136.425	1771524136.425	1771524136.425
176	200.000	-0.002	200.000	4.903	4.403	1.328	1771524136.664	1771524136.664	1771524136.664	1771524136.664	1771524136.664	1771524136.664
177	200.000	0.033	200.000	0.776	2.603	1.328	1771524136.895	1771524136.895	1771524136.895	1771524136.895	1771524136.895	1771524136.895
178	200.000	-0.023	200.000	5.465	1.138	1.328	1771524137.104	1771524137.104	1771524137.104	1771524137.104	1771524137.104	1771524137.104
179	200.000	0.005	200.005	3.510	4.592	1.328	1771524137.358	1771524137.358	1771524137.358	1771524137.358	1771524137.358	1771524137.358
