Frequency Set (GHz)	Frequency Act (GHz)	Amplitude (via StrMod)	Phase (via StrMod)
200.000	199.999	3.092	1.385
200.000	200.003	2.074	0.161
200.000	199.999	2.473	4.834
200.000	200.003	2.499	4.196
200.000	199.999	1.779	2.727
200.000	200.002	3.333	1.926
200.000	200.001	2.893	1.071
200.000	200.001	1.936	5.788
200.000	199.998	2.804	4.544
200.000	200.001	1.598	3.562
200.000	200.004	2.965	2.027
200.000	200.003	3.076	1.202
200.000	200.001	2.099	0.107
200.000	199.999	2.558	4.808
200.000	199.999	2.562	4.227
200.000	200.001	1.749	2.868
200.000	200.000	3.317	1.957
200.000	199.999	3.115	1.194
200.000	200.003	1.910	6.117
200.000	199.999	2.729	4.711
200.000	200.002	2.186	4.136
200.000	200.001	2.193	2.405
200.000	200.000	3.418	1.826
200.000	199.998	2.721	0.868
200.000	200.003	1.857	5.633
200.000	200.002	2.873	4.564
200.000	199.998	2.054	4.021
200.000	200.003	2.173	2.414
200.000	200.000	3.439	1.723
200.000	200.002	2.189	0.521
200.000	200.000	2.323	4.954
200.000	199.996	2.763	4.258
200.000	200.003	1.586	3.041
200.000	200.000	3.298	1.926
200.000	200.002	3.156	1.280
200.000	199.998	1.881	6.185
200.000	200.003	2.689	4.786
200.000	200.003	2.529	4.228
200.000	199.999	1.766	2.771
200.000	200.001	3.420	1.920
200.000	199.998	2.679	0.903
200.000	200.001	2.015	5.431
200.000	200.000	2.860	4.456
200.000	199.999	1.564	3.309
200.000	199.997	3.235	2.032
200.000	199.998	3.269	1.376
200.000	200.003	2.172	0.166
200.000	200.006	2.583	4.859
200.000	200.000	2.694	4.309
200.000	200.001	1.571	2.884
200.000	200.002	3.411	1.909
200.000	200.006	2.904	1.123
200.000	199.998	2.039	5.749
200.000	200.000	2.849	4.650
200.000	200.003	2.263	4.067
200.000	200.003	2.139	2.469
200.000	199.999	3.570	1.779
200.000	199.999	2.518	0.815
200.000	199.996	2.214	5.209
200.000	200.001	2.948	4.441
200.000	200.000	1.671	3.681
200.000	200.002	2.697	2.204
200.000	200.004	3.403	1.596
200.000	199.999	2.101	0.397
200.000	200.002	2.480	4.942
200.000	200.004	2.771	4.301
200.000	200.005	1.572	2.979
200.000	199.997	3.362	1.996
200.000	199.999	3.184	1.283
200.000	199.997	1.795	6.069
200.000	200.001	2.693	4.681
200.000	200.001	1.965	3.918
200.000	199.999	2.721	2.182
200.000	200.001	3.645	1.641
200.000	200.002	2.378	0.669
200.000	199.999	2.077	5.256
200.000	200.005	2.908	4.368
