Point No.	Frequency Set (GHz)	THz Photocurrent (nA)	Frequency Act (GHz)	Amplitude (via StrMod)	Phase (via StrMod)	Frequency Fit	Timestamp (s)	Timestamp (s)	Timestamp (s)	Timestamp (s)	Timestamp (s)	Timestamp (s)
115	100.000	-0.028	100.004	4.683	4.639	0.664	1771450484.204	1771450484.204	1771450484.204	1771450484.204	1771450484.204	1771450484.204
116	100.000	-0.019	99.998	6.607	3.297	0.664	1771450484.471	1771450484.471	1771450484.471	1771450484.471	1771450484.471	1771450484.471
117	100.000	-0.052	100.000	7.500	1.620	0.664	1771450484.719	1771450484.719	1771450484.719	1771450484.719	1771450484.719	1771450484.719
118	100.000	0.042	99.999	14.409	0.946	0.664	1771450484.976	1771450484.976	1771450484.976	1771450484.976	1771450484.976	1771450484.976
119	100.000	-0.011	99.999	16.119	0.593	0.664	1771450485.243	1771450485.243	1771450485.243	1771450485.243	1771450485.243	1771450485.243
120	100.000	-0.017	100.001	8.482	0.130	0.664	1771450485.458	1771450485.458	1771450485.458	1771450485.458	1771450485.458	1771450485.458
121	100.000	-0.013	99.998	4.592	4.435	0.664	1771450485.723	1771450485.723	1771450485.723	1771450485.723	1771450485.723	1771450485.723
122	100.000	-0.029	99.999	5.486	3.074	0.664	1771450485.980	1771450485.980	1771450485.980	1771450485.980	1771450485.980	1771450485.980
123	100.000	-0.036	99.996	9.807	1.491	0.664	1771450486.232	1771450486.232	1771450486.232	1771450486.232	1771450486.232	1771450486.232
124	100.000	0.031	100.003	16.319	0.882	0.664	1771450486.478	1771450486.478	1771450486.478	1771450486.478	1771450486.478	1771450486.478
125	100.000	-0.026	99.999	15.784	0.637	0.664	1771450486.718	1771450486.718	1771450486.718	1771450486.718	1771450486.718	1771450486.718
126	100.000	0.023	100.004	7.189	0.129	0.664	1771450486.964	1771450486.964	1771450486.964	1771450486.964	1771450486.964	1771450486.964
127	100.000	0.020	100.000	5.081	4.357	0.664	1771450487.209	1771450487.209	1771450487.209	1771450487.209	1771450487.209	1771450487.209
128	100.000	0.017	99.999	5.334	3.002	0.664	1771450487.482	1771450487.482	1771450487.482	1771450487.482	1771450487.482	1771450487.482
129	100.000	0.007	100.003	9.814	1.439	0.664	1771450487.746	1771450487.746	1771450487.746	1771450487.746	1771450487.746	1771450487.746
130	100.000	0.014	99.999	16.035	0.932	0.664	1771450487.968	1771450487.968	1771450487.968	1771450487.968	1771450487.968	1771450487.968
131	100.000	-0.003	100.005	14.335	0.634	0.664	1771450488.230	1771450488.230	1771450488.230	1771450488.230	1771450488.230	1771450488.230
132	100.000	-0.001	100.000	6.710	0.165	0.664	1771450488.473	1771450488.473	1771450488.473	1771450488.473	1771450488.473	1771450488.473
133	100.000	0.048	99.999	5.396	4.205	0.664	1771450488.719	1771450488.719	1771450488.719	1771450488.719	1771450488.719	1771450488.719
134	100.000	-0.009	100.002	5.544	2.779	0.664	1771450488.993	1771450488.993	1771450488.993	1771450488.993	1771450488.993	1771450488.993
135	100.000	-0.079	99.998	11.987	1.355	0.664	1771450489.228	1771450489.228	1771450489.228	1771450489.228	1771450489.228	1771450489.228
136	100.000	-0.045	99.996	17.095	0.932	0.664	1771450489.498	1771450489.498	1771450489.498	1771450489.498	1771450489.498	1771450489.498
137	100.000	-0.017	100.005	13.421	0.634	0.664	1771450489.728	1771450489.728	1771450489.728	1771450489.728	1771450489.728	1771450489.728
138	100.000	0.028	100.000	4.979	6.249	0.664	1771450489.971	1771450489.971	1771450489.971	1771450489.971	1771450489.971	1771450489.971
139	100.000	0.023	100.001	5.464	4.055	0.664	1771450490.223	1771450490.223	1771450490.223	1771450490.223	1771450490.223	1771450490.223
140	100.000	-0.037	99.997	5.700	2.763	0.664	1771450490.479	1771450490.479	1771450490.479	1771450490.479	1771450490.479	1771450490.479
141	100.000	0.011	99.997	11.676	1.365	0.664	1771450490.734	1771450490.734	1771450490.734	1771450490.734	1771450490.734	1771450490.734
142	100.000	-0.027	100.000	15.905	0.941	0.664	1771450490.979	1771450490.979	1771450490.979	1771450490.979	1771450490.979	1771450490.979
143	100.000	-0.018	100.003	12.630	0.542	0.664	1771450491.234	1771450491.234	1771450491.234	1771450491.234	1771450491.234	1771450491.234
144	100.000	0.014	99.999	4.363	6.046	0.664	1771450491.458	1771450491.458	1771450491.458	1771450491.458	1771450491.458	1771450491.458
145	100.000	0.026	100.001	5.560	3.971	0.664	1771450491.715	1771450491.715	1771450491.715	1771450491.715	1771450491.715	1771450491.715
146	100.000	0.001	100.001	6.489	2.530	0.664	1771450491.991	1771450491.991	1771450491.991	1771450491.991	1771450491.991	1771450491.991
147	100.000	0.065	100.000	12.180	1.374	0.664	1771450492.229	1771450492.229	1771450492.229	1771450492.229	1771450492.229	1771450492.229
148	100.000	0.013	99.998	16.147	0.847	0.664	1771450492.495	1771450492.495	1771450492.495	1771450492.495	1771450492.495	1771450492.495
149	100.000	-0.010	100.001	11.900	0.603	0.664	1771450492.715	1771450492.715	1771450492.715	1771450492.715	1771450492.715	1771450492.715
150	100.000	-0.013	100.001	3.894	5.948	0.664	1771450492.959	1771450492.959	1771450492.959	1771450492.959	1771450492.959	1771450492.959
151	100.000	-0.037	100.002	5.909	4.077	0.664	1771450493.184	1771450493.184	1771450493.184	1771450493.184	1771450493.184	1771450493.184
152	100.000	0.006	100.002	5.496	2.932	0.664	1771450493.391	1771450493.391	1771450493.391	1771450493.391	1771450493.391	1771450493.391
153	100.000	-0.020	99.999	8.473	1.574	0.664	1771450493.600	1771450493.600	1771450493.600	1771450493.600	1771450493.600	1771450493.600
154	100.000	0.003	99.999	14.609	1.094	0.664	1771450493.893	1771450493.893	1771450493.893	1771450493.893	1771450493.893	1771450493.893
155	100.000	-0.027	99.998	14.158	0.708	0.664	1771450494.115	1771450494.115	1771450494.115	1771450494.115	1771450494.115	1771450494.116
156	100.000	-0.016	100.002	6.331	0.295	0.664	1771450494.358	1771450494.358	1771450494.358	1771450494.358	1771450494.358	1771450494.358
157	100.000	-0.006	99.997	4.277	4.324	0.664	1771450494.617	1771450494.617	1771450494.617	1771450494.617	1771450494.617	1771450494.617
158	100.000	-0.072	99.996	5.146	3.042	0.664	1771450494.840	1771450494.840	1771450494.840	1771450494.840	1771450494.840	1771450494.840
159	100.000	-0.022	100.000	9.164	1.551	0.664	1771450495.126	1771450495.126	1771450495.126	1771450495.126	1771450495.126	1771450495.126
160	100.000	-0.006	100.001	15.955	0.920	0.664	1771450495.369	1771450495.369	1771450495.369	1771450495.369	1771450495.369	1771450495.369
161	100.000	0.020	100.007	14.267	0.627	0.664	1771450495.640	1771450495.640	1771450495.640	1771450495.640	1771450495.640	1771450495.640
162	100.000	0.036	100.001	5.186	6.173	0.664	1771450495.878	1771450495.878	1771450495.878	1771450495.878	1771450495.878	1771450495.878
163	100.000	-0.028	99.997	5.420	4.177	0.664	1771450496.122	1771450496.122	1771450496.122	1771450496.122	1771450496.122	1771450496.122
164	100.000	0.021	100.002	5.699	2.833	0.664	1771450496.351	1771450496.351	1771450496.351	1771450496.351	1771450496.351	1771450496.351
165	100.000	0.047	99.999	10.549	1.467	0.664	1771450496.622	1771450496.622	1771450496.622	1771450496.622	1771450496.622	1771450496.622
166	100.000	-0.043	100.000	16.163	0.962	0.664	1771450496.873	1771450496.873	1771450496.873	1771450496.873	1771450496.873	1771450496.873
167	100.000	-0.019	100.003	13.619	0.560	0.664	1771450497.130	1771450497.130	1771450497.130	1771450497.130	1771450497.130	1771450497.130
168	100.000	0.004	99.997	5.152	5.989	0.664	1771450497.375	1771450497.375	1771450497.375	1771450497.375	1771450497.375	1771450497.375
169	100.000	0.069	99.997	6.003	4.093	0.664	1771450497.603	1771450497.603	1771450497.603	1771450497.603	1771450497.603	1771450497.603
170	100.000	0.001	100.002	5.601	2.649	0.664	1771450497.846	1771450497.846	1771450497.846	1771450497.846	1771450497.846	1771450497.846
171	100.000	-0.042	99.999	12.001	1.354	0.664	1771450498.104	1771450498.104	1771450498.104	1771450498.104	1771450498.104	1771450498.104
172	100.000	-0.021	100.001	16.829	0.913	0.664	1771450498.369	1771450498.369	1771450498.369	1771450498.369	1771450498.369	1771450498.369
173	100.000	-0.015	100.001	13.908	0.601	0.664	1771450498.624	1771450498.624	1771450498.624	1771450498.624	1771450498.624	1771450498.624
174	100.000	0.015	100.002	5.086	5.981	0.664	1771450498.867	1771450498.867	1771450498.867	1771450498.867	1771450498.867	1771450498.867
175	100.000	-0.025	100.004	5.199	4.015	0.664	1771450499.146	1771450499.146	1771450499.146	1771450499.146	1771450499.146	1771450499.146
176	100.000	-0.009	100.000	7.173	2.159	0.664	1771450499.372	1771450499.372	1771450499.372	1771450499.372	1771450499.372	1771450499.372
177	100.000	-0.011	100.002	13.304	1.325	0.664	1771450499.642	1771450499.642	1771450499.642	1771450499.642	1771450499.642	1771450499.642
178	100.000	0.015	100.006	16.480	0.837	0.664	1771450499.882	1771450499.882	1771450499.882	1771450499.882	1771450499.882	1771450499.882
179	100.000	-0.002	100.004	12.194	0.496	0.664	1771450500.140	1771450500.140	1771450500.140	1771450500.140	1771450500.140	1771450500.140
180	100.000	0.042	99.997	4.185	5.455	0.664	1771450500.368	1771450500.368	1771450500.368	1771450500.368	1771450500.368	1771450500.368
181	100.000	0.003	100.000	6.020	3.883	0.664	1771450500.632	1771450500.632	1771450500.632	1771450500.632	1771450500.632	1771450500.632
182	100.000	-0.030	100.002	7.285	2.182	0.664	1771450500.882	1771450500.882	1771450500.882	1771450500.882	1771450500.882	1771450500.882
183	100.000	0.022	100.000	14.642	1.177	0.664	1771450501.141	1771450501.141	1771450501.141	1771450501.141	1771450501.141	1771450501.141
184	100.000	-0.057	100.004	17.218	0.808	0.664	1771450501.384	1771450501.384	1771450501.384	1771450501.384	1771450501.384	1771450501.384
185	100.000	-0.041	100.001	10.858	0.442	0.664	1771450501.653	1771450501.653	1771450501.653	1771450501.653	1771450501.653	1771450501.653
186	100.000	-0.017	99.997	4.320	5.121	0.664	1771450501.886	1771450501.886	1771450501.886	1771450501.886	1771450501.886	1771450501.886
187	100.000	0.002	99.999	5.723	3.578	0.664	1771450502.127	1771450502.127	1771450502.127	1771450502.127	1771450502.127	1771450502.127
188	100.000	0.005	100.000	8.035	1.997	0.664	1771450502.382	1771450502.382	1771450502.382	1771450502.382	1771450502.382	1771450502.382
189	100.000	0.005	99.990	14.971	1.136	0.664	1771450502.656	1771450502.656	1771450502.656	1771450502.656	1771450502.656	1771450502.656
